,carat,cut,color,clarity,depth,table,x,y,z
60,1.01,4,5,3.5,60.4,59.0,6.49,6.45,3.91
61,1.12,5,6,2.5,61.9,56.0,6.65,6.68,4.13
62,1.03,5,7,2.0,61.6,55.0,6.49,6.53,4.01
63,0.3,5,4,5.0,61.0,57.0,4.31,4.34,2.64
64,0.31,5,5,5.0,62.1,55.0,4.34,4.35,2.7
65,0.51,5,7,2.5,61.9,57.0,5.09,5.15,3.17
66,1.09,3,5,4.0,61.4,58.0,6.6,6.65,4.07
67,0.8,5,5,2.5,61.2,58.0,5.99,6.03,3.68
68,1.52,4,7,1.5,59.8,60.0,7.5,7.42,4.46
69,1.04,2,5,1.5,64.2,56.0,6.39,6.36,4.09
70,1.02,3,6,2.0,60.5,63.0,6.48,6.54,3.94
71,0.4,5,5,1.5,61.5,56.0,4.75,4.78,2.93
72,0.92,4,4,1.5,59.4,60.0,6.34,6.31,3.76
73,1.01,3,7,1.5,62.9,59.0,6.29,6.37,3.98
74,0.35,5,7,1.5,62.2,56.0,4.55,4.52,2.82
75,1.0,3,4,4.0,62.3,56.0,6.29,6.4,3.95
76,1.01,4,3,2.0,59.2,58.0,6.58,6.56,3.89
77,1.12,5,4,3.5,61.6,55.0,6.68,6.74,4.13
78,0.9,3,6,2.0,62.2,60.0,6.14,6.17,3.83
79,1.0,3,5,3.0,58.4,63.0,6.58,6.47,3.81
80,0.51,2,4,3.5,63.1,58.0,5.07,5.11,3.21
81,0.32,5,3,2.0,61.9,54.0,4.39,4.43,2.73
82,0.7,5,3,2.5,61.2,57.0,5.73,5.77,3.52
83,1.0,4,6,2.5,61.5,58.0,6.39,6.42,3.94
84,0.46,3,4,4.0,61.7,60.0,4.94,4.98,3.06
85,0.7,4,5,2.0,62.1,58.0,5.7,5.64,3.52
86,0.3,5,6,2.0,62.4,57.0,4.27,4.29,2.67
87,2.0,1,3,1.5,68.7,55.0,7.9,7.67,5.35
88,0.61,5,6,2.5,61.7,56.0,5.46,5.43,3.36
89,2.0,4,3,1.5,60.7,60.0,8.07,8.11,4.91
90,0.28,3,5,3.0,62.1,59.0,4.16,4.21,2.6
91,0.53,5,2,2.5,62.1,54.0,5.2,5.24,3.24
92,1.0,4,5,2.0,59.8,59.0,6.49,6.55,3.9
93,0.64,4,6,2.0,61.2,62.0,5.56,5.52,3.39
94,0.7,3,6,1.5,62.0,59.0,5.61,5.68,3.5
95,0.41,5,1,2.5,61.7,55.0,4.8,4.82,2.97
96,0.32,5,4,3.0,62.3,56.0,4.39,4.37,2.73
97,1.52,1,2,1.5,64.7,58.0,7.19,7.22,4.66
98,1.0,3,6,2.0,63.3,57.0,6.28,6.32,3.99
99,0.36,5,3,4.0,62.3,56.0,4.57,4.54,2.84
100,0.52,5,6,2.0,61.1,57.0,5.2,5.17,3.16
101,1.09,5,3,2.0,62.3,55.0,6.58,6.61,4.11
102,0.32,2,7,2.5,63.6,55.0,4.35,4.42,2.79
103,0.79,4,6,2.5,62.1,59.0,5.9,5.86,3.65
104,0.4,2,7,3.5,60.8,62.0,4.74,4.77,2.89
105,1.28,4,2,3.0,61.1,61.0,7.01,6.96,4.27
106,0.91,1,7,2.5,65.7,58.0,6.04,5.99,3.95
107,0.53,5,6,3.0,60.9,57.0,5.19,5.25,3.18
108,0.46,5,4,3.5,62.4,54.4,4.93,4.98,3.09
109,0.5,5,7,2.5,62.9,54.0,5.09,5.05,3.19
110,2.08,4,2,1.5,62.3,58.0,8.18,8.13,5.08
111,1.24,3,2,3.0,59.4,58.0,7.04,7.09,4.2
112,1.3,3,5,1.5,61.1,58.0,6.98,7.02,4.28
113,0.71,3,1,2.0,63.5,58.0,5.63,5.67,3.59
114,0.55,5,4,3.0,61.3,57.0,5.25,5.28,3.23
115,1.2,4,4,3.0,61.4,60.0,6.86,6.81,4.2
116,0.4,5,4,3.5,62.4,56.0,4.72,4.74,2.95
117,1.06,3,7,2.0,59.4,57.0,6.65,6.72,3.97
118,0.71,5,4,3.5,61.5,57.0,5.73,5.75,3.53
119,0.31,5,1,3.0,61.9,54.7,4.34,4.36,2.69
120,1.0,1,3,1.5,64.4,57.0,6.35,6.29,4.07
121,0.74,3,5,1.5,63.1,58.0,5.76,5.72,3.62
122,0.32,3,7,2.0,63.3,57.0,4.39,4.36,2.77
123,0.31,5,4,2.5,62.7,57.0,4.34,4.31,2.71
124,0.35,4,1,3.0,62.4,58.0,5.67,5.64,3.53
125,0.32,5,7,4.0,61.8,56.0,4.39,4.41,2.72
126,0.77,3,1,2.0,62.3,58.0,5.86,5.89,3.66
127,1.12,4,3,2.0,61.6,59.0,6.63,6.67,4.1
128,0.61,2,5,3.0,60.6,60.3,5.46,5.51,3.32
129,1.19,5,5,2.5,62.0,57.0,6.78,6.76,4.2
130,0.31,4,2,2.0,60.7,58.0,4.42,4.38,2.67
131,1.0,4,6,2.5,62.9,59.0,6.38,6.27,3.98
132,1.16,5,7,2.5,62.1,57.0,6.73,6.7,4.17
133,1.24,2,6,2.0,63.5,55.0,6.82,6.86,4.35
134,0.51,5,5,3.5,60.4,56.0,5.18,5.22,3.14
135,0.51,4,4,3.0,61.0,58.0,5.2,5.16,3.16
136,0.74,1,3,2.5,66.1,61.0,5.6,5.57,3.69
137,1.32,4,2,2.0,62.2,58.0,7.04,6.99,4.36
138,0.4,5,3,2.5,61.6,57.0,4.71,4.74,2.91
139,1.06,5,6,1.5,60.9,57.0,6.58,6.62,4.02
140,0.55,2,6,2.0,63.3,54.0,5.21,5.24,3.31
141,0.39,2,5,2.0,63.6,58.0,4.65,4.6,2.94
142,1.2,5,7,1.5,61.7,56.0,6.81,6.88,4.22
143,1.7,3,5,1.5,63.4,57.0,7.54,7.57,4.79
144,0.26,5,6,3.5,62.0,56.0,4.13,4.1,2.55
145,0.77,3,2,2.5,63.2,58.0,5.79,5.85,3.68
146,1.0,3,5,3.5,63.2,56.0,6.35,6.3,4.0
147,0.93,4,7,1.5,62.6,57.0,6.26,6.2,3.9
148,1.02,5,3,1.0,62.1,56.0,6.4,6.45,3.99
149,0.4,5,3,2.0,62.0,56.0,4.74,4.68,2.92
150,2.0,1,2,1.5,65.2,59.0,7.74,7.69,5.03
151,0.9,4,4,3.0,62.7,58.0,6.06,6.15,3.83
152,0.83,4,7,2.0,62.5,54.0,6.08,6.02,3.78
153,0.4,3,7,2.5,64.4,52.0,4.63,4.68,3.0
154,0.51,1,6,2.0,64.8,58.0,5.07,5.02,3.27
155,1.52,4,6,3.0,59.9,60.0,7.47,7.39,4.45
156,0.52,3,4,4.0,59.2,58.0,5.28,5.31,3.14
157,1.01,1,4,1.5,65.1,58.0,6.29,6.21,4.07
158,1.1,4,4,2.5,59.4,60.0,6.78,6.72,4.01
159,1.02,5,4,2.5,62.6,57.0,6.43,6.41,4.02
160,0.71,3,3,4.0,62.7,59.0,5.65,5.67,3.55
161,1.51,4,4,2.5,61.2,61.0,7.44,7.33,4.52
162,0.36,4,7,1.5,61.2,59.0,4.59,4.56,2.8
163,2.08,4,2,2.5,58.9,61.0,8.36,8.35,4.92
164,0.4,4,6,2.0,60.9,60.0,4.75,4.77,2.9
165,1.71,5,1,3.0,62.4,56.0,7.59,7.63,4.75
166,0.52,3,4,1.5,63.1,56.0,5.12,5.08,3.22
167,0.51,5,4,2.5,61.9,55.0,5.07,5.1,3.15
168,0.28,3,5,4.0,61.5,56.0,4.24,4.27,2.61
169,0.71,3,5,2.0,62.1,59.0,5.64,5.73,3.53
170,0.32,5,4,3.5,61.2,58.0,4.39,4.43,2.7
171,1.15,4,4,2.0,63.0,59.0,6.68,6.63,4.19
172,0.27,3,4,3.5,62.4,56.0,4.13,4.16,2.58
173,0.31,2,3,2.0,63.6,57.0,4.32,4.33,2.75
174,1.02,3,4,3.0,62.4,58.0,6.37,6.42,3.99
175,1.05,5,7,1.5,60.2,57.0,6.58,6.65,3.98
176,2.21,3,5,1.5,61.0,58.0,8.36,8.43,5.12
177,0.31,3,3,2.5,63.2,58.0,4.33,4.31,2.73
178,0.7,4,6,3.0,62.7,60.0,5.64,5.59,3.52
179,0.37,3,3,2.0,62.6,63.0,4.6,4.5,2.85
180,0.31,5,4,2.5,62.4,55.0,4.32,4.3,2.69
181,0.61,3,4,3.0,62.7,57.0,5.36,5.43,3.38
182,1.06,5,2,2.0,61.8,55.0,6.54,6.57,4.04
183,0.38,3,5,2.0,61.5,54.0,4.69,4.71,2.89
184,0.38,5,7,3.0,62.0,57.0,4.69,4.7,2.91
185,0.31,4,2,3.5,59.4,59.0,4.41,4.44,2.63
186,0.3,4,2,2.0,60.9,59.0,4.36,4.34,2.65
187,0.3,3,4,4.0,63.1,58.0,4.31,4.28,2.71
188,0.7,2,3,1.0,57.4,63.0,5.89,5.8,3.36
189,0.54,5,4,3.0,61.4,57.0,5.23,5.2,3.2
190,0.5,3,6,2.5,63.2,57.0,5.06,5.03,3.19
191,0.8,2,4,1.0,63.7,55.0,5.91,5.81,3.73
192,1.06,4,6,2.0,62.0,61.0,6.55,6.51,4.05
193,0.53,3,2,2.0,59.7,63.0,5.22,5.3,3.14
194,0.3,5,6,3.0,62.5,56.0,4.3,4.28,2.68
195,0.32,5,5,2.5,61.3,57.0,4.4,4.37,2.69
196,0.31,3,4,3.0,61.9,54.0,4.36,4.4,2.71
197,0.3,5,6,2.5,61.4,56.0,4.32,4.34,2.66
198,1.32,3,2,2.0,62.1,57.0,6.99,7.09,4.37
199,0.76,3,6,2.0,63.0,59.0,5.76,5.8,3.64
200,0.34,5,4,4.0,62.1,55.0,4.49,4.46,2.78
201,2.01,3,3,1.5,62.2,63.0,8.01,7.93,4.96
202,1.72,2,5,2.0,64.3,60.0,7.52,7.56,4.85
203,0.33,5,3,3.5,62.2,56.0,4.46,4.44,2.77
204,0.97,4,2,2.5,62.2,56.0,6.34,6.29,3.94
205,0.5,5,4,3.5,61.2,56.0,5.1,5.13,3.13
206,0.4,3,6,3.0,60.3,58.0,4.8,4.82,2.9
207,1.73,4,1,2.0,60.7,58.0,7.73,7.78,4.71
208,1.0,4,5,2.0,60.7,60.0,6.4,6.36,3.87
209,0.4,3,1,2.5,62.5,60.0,4.67,4.71,2.93
210,0.63,3,7,2.0,62.8,57.0,5.4,5.46,3.41
211,1.15,5,4,2.5,61.6,55.0,6.74,6.76,4.16
212,0.7,5,1,2.0,60.1,59.0,5.79,5.75,3.47
213,1.51,4,1,2.0,59.9,60.0,7.46,7.41,4.45
214,2.01,2,2,2.0,64.1,62.0,7.94,7.85,5.06
215,0.31,2,5,3.0,56.7,60.0,4.57,4.5,2.57
216,0.23,3,7,4.0,63.3,57.0,3.9,3.93,2.48
217,0.38,3,6,3.0,61.5,58.0,4.64,4.69,2.87
218,0.78,1,5,1.5,64.6,53.0,5.83,5.78,3.75
219,0.36,3,5,3.5,61.6,55.0,4.58,4.6,2.83
220,0.31,3,4,3.0,62.8,58.0,4.27,4.3,2.69
221,1.51,5,1,2.5,62.4,57.0,7.35,7.3,4.57
222,0.39,3,5,3.0,62.0,56.0,4.72,4.64,2.9
223,0.5,5,4,2.5,62.0,57.0,5.08,5.11,3.16
224,0.4,2,5,2.0,63.6,59.0,4.67,4.64,2.96
225,1.16,5,1,2.0,61.8,55.0,6.75,6.78,4.18
226,0.41,5,5,3.0,61.9,55.0,4.8,4.76,2.96
227,0.45,4,4,4.0,60.8,58.0,4.98,4.92,3.01
228,1.0,3,3,2.0,60.9,58.0,6.43,6.46,3.93
229,0.32,5,6,1.5,61.3,56.0,4.42,4.45,2.72
230,0.69,3,7,2.0,57.6,62.0,5.83,5.9,3.38
231,0.72,5,5,2.5,62.0,57.0,5.77,5.72,3.56
232,1.04,4,6,1.5,61.6,59.0,6.55,6.57,4.04
233,0.61,3,6,5.0,61.7,58.0,5.39,5.47,3.35
234,0.77,4,5,2.5,62.4,59.0,5.85,5.81,3.64
235,2.66,2,3,1.5,64.3,60.0,8.71,8.65,5.58
236,1.5,2,6,3.5,64.3,58.0,7.2,7.13,4.61
237,0.38,4,7,1.5,61.1,58.0,4.68,4.62,2.84
238,0.32,5,6,2.5,61.9,56.0,4.35,4.4,2.71
239,0.42,4,3,3.0,61.7,59.0,4.76,4.83,2.96
240,0.25,3,5,4.0,61.8,55.0,4.06,4.09,2.52
241,0.4,3,4,2.0,61.6,59.0,4.66,4.72,2.89
242,1.02,5,4,2.5,62.8,57.0,6.36,6.45,4.02
243,0.92,4,2,2.0,60.4,59.0,6.31,6.24,3.79
244,0.32,5,4,2.5,61.4,56.0,4.39,4.37,2.69
245,1.12,5,2,2.0,61.7,58.0,6.66,6.6,4.09
246,1.22,5,5,2.5,61.5,57.0,6.87,6.91,4.24
247,0.32,5,4,5.0,61.9,54.0,4.4,4.42,2.73
248,1.01,5,5,2.5,61.0,56.0,6.44,6.4,3.94
249,0.3,5,7,2.5,61.5,55.0,4.35,4.3,2.66
250,0.71,5,4,2.0,59.7,60.0,5.79,5.81,3.46
251,2.42,4,1,2.5,61.3,59.0,8.61,8.58,5.27
252,0.31,5,4,4.0,60.6,57.0,4.4,4.38,2.66
253,0.34,5,3,4.0,62.2,54.0,4.48,4.53,2.8
254,0.9,1,6,1.5,64.5,55.0,6.12,6.03,3.92
255,0.5,5,7,2.0,60.9,57.0,5.18,5.14,3.14
256,0.58,5,7,2.0,61.1,57.0,5.36,5.41,3.29
257,0.3,3,4,3.5,62.3,59.0,4.25,4.29,2.66
258,2.0,3,1,1.5,59.8,60.0,8.09,8.13,4.85
259,0.56,5,1,2.5,61.7,54.0,5.31,5.36,3.29
260,0.51,5,6,4.0,61.3,56.0,5.13,5.21,3.17
261,0.23,5,4,2.0,61.2,56.0,3.97,4.0,2.44
262,0.26,3,5,3.0,59.5,58.0,4.18,4.23,2.5
263,1.38,1,4,1.5,61.2,59.0,7.19,7.13,4.38
264,0.33,4,4,2.5,62.6,58.0,4.41,4.44,2.77
265,0.31,5,7,2.5,62.2,56.0,4.32,4.33,2.69
266,0.32,3,7,2.0,63.1,56.0,4.38,4.34,2.75
267,0.43,3,4,5.0,62.7,58.0,4.8,4.84,3.02
268,0.3,5,7,2.0,62.0,53.0,4.33,4.35,2.69
269,0.7,5,5,2.0,61.1,56.0,5.74,5.78,3.52
270,1.01,2,5,2.5,64.1,59.0,6.16,6.23,3.97
271,0.37,5,7,2.0,61.5,57.0,4.6,4.63,2.84
272,0.77,4,5,2.0,60.0,61.0,5.97,5.93,3.57
273,0.37,5,6,2.0,61.0,56.0,4.66,4.68,2.85
274,0.25,3,5,3.5,62.0,59.0,3.99,4.04,2.49
275,1.01,3,6,2.0,62.9,59.0,6.3,6.38,3.99
276,0.32,5,3,3.0,61.5,57.0,4.42,4.4,2.71
277,1.18,3,4,2.0,60.8,58.0,6.81,6.85,4.15
278,0.7,5,5,2.5,60.8,56.0,5.78,5.79,3.52
279,1.86,4,4,1.5,62.8,58.0,7.83,7.75,4.89
280,0.3,4,4,5.0,61.0,62.0,4.34,4.32,2.64
281,0.75,5,4,3.5,61.3,55.0,5.85,5.89,3.59
282,0.52,5,3,3.0,61.7,55.0,5.21,5.17,3.2
283,1.14,3,6,1.5,60.2,58.0,6.71,6.78,4.06
284,1.0,5,6,1.5,62.2,52.0,6.42,6.47,4.01
285,1.51,4,4,3.5,60.9,58.0,7.42,7.38,4.51
286,0.71,4,6,2.5,61.3,59.0,5.7,5.76,3.51
287,0.7,5,4,2.5,62.3,57.0,5.67,5.7,3.54
288,1.23,3,6,4.0,61.2,59.0,6.9,6.98,4.25
289,0.91,1,5,2.0,64.9,57.0,6.13,6.08,3.96
290,0.67,3,4,2.5,61.7,59.7,5.56,5.61,3.45
291,0.3,5,6,2.0,61.7,55.0,4.33,4.36,2.68
292,0.51,3,2,2.5,60.3,63.0,5.16,5.13,3.1
293,1.02,4,4,1.5,62.3,58.1,6.41,6.38,4.0
294,1.22,5,3,3.0,62.7,55.0,6.82,6.73,4.25
295,1.51,2,2,2.0,63.9,59.0,7.18,7.26,4.61
296,0.7,4,6,2.0,61.9,59.0,5.74,5.66,3.53
297,0.41,2,1,3.0,63.2,59.0,4.67,4.7,2.96
298,1.03,5,5,5.0,61.3,56.0,6.53,6.55,4.01
299,0.9,1,4,2.5,65.8,61.0,5.99,5.96,3.93
300,0.41,4,4,2.5,61.6,58.0,4.78,4.73,2.93
301,0.35,4,4,3.0,60.7,61.0,4.58,4.54,2.77
302,0.34,5,6,4.0,61.1,56.0,4.52,4.55,2.77
303,0.72,4,4,2.0,60.6,59.0,5.8,5.76,3.5
304,0.25,3,6,3.5,63.4,58.0,3.97,4.01,2.53
305,0.33,5,6,1.5,62.2,54.0,4.44,4.46,2.77
306,0.24,3,7,4.0,59.2,59.0,4.04,4.1,2.41
307,0.33,3,3,3.5,61.9,56.0,4.44,4.47,2.76
308,1.51,3,3,2.5,60.9,54.0,7.38,7.41,4.5
309,1.07,5,5,2.0,62.3,56.0,6.51,6.53,4.06
310,0.24,5,2,4.0,62.3,57.0,3.98,3.95,2.47
311,1.22,2,4,2.5,59.9,61.0,6.88,6.91,4.13
312,1.5,3,2,2.0,60.2,63.0,7.38,7.33,4.43
313,1.12,5,5,3.5,62.2,55.0,6.64,6.68,4.14
314,0.32,4,6,2.5,60.5,55.0,4.49,4.43,2.7
315,1.05,5,4,2.5,61.9,57.0,6.47,6.51,4.03
316,0.72,3,2,2.5,63.3,59.0,5.66,5.62,3.57
317,1.01,4,4,2.0,63.0,60.0,6.34,6.3,3.98
318,2.53,1,3,1.5,64.6,59.0,8.54,8.45,5.4
319,0.42,5,3,2.5,62.5,57.0,4.76,4.81,2.99
320,0.32,5,5,4.0,61.7,56.0,4.42,4.4,2.72
321,1.12,4,4,2.0,60.1,58.0,6.78,6.83,4.09
322,0.8,5,5,2.0,62.8,54.0,5.9,5.97,3.74
323,0.52,5,3,4.0,62.1,53.8,5.17,5.19,3.21
324,0.24,3,6,3.5,58.5,59.0,4.04,4.09,2.38
325,0.57,3,6,2.0,60.3,57.0,5.34,5.4,3.24
326,0.3,5,6,3.5,61.9,59.0,4.27,4.3,2.65
327,0.5,5,3,3.0,61.4,54.0,5.13,5.16,3.16
328,0.77,4,5,2.0,60.8,59.0,5.92,5.86,3.58
329,0.48,2,4,2.0,64.7,58.0,4.84,4.93,3.16
330,0.32,5,4,3.5,60.6,57.0,4.43,4.41,2.68
331,1.0,2,7,1.5,64.3,60.0,6.22,6.19,3.99
332,1.08,3,3,2.0,63.4,57.0,6.54,6.51,4.14
333,0.69,1,4,3.0,61.2,65.4,5.58,5.64,3.42
334,0.72,5,6,4.0,61.6,56.0,5.75,5.77,3.55
335,1.02,4,4,2.0,61.7,58.0,6.47,6.37,3.96
336,0.28,3,6,3.5,60.0,56.0,4.26,4.28,2.56
337,0.33,5,6,4.0,61.3,56.0,4.43,4.48,2.73
338,0.52,5,5,3.0,61.2,57.0,5.16,5.2,3.17
339,0.36,5,4,1.5,61.1,54.0,4.61,4.65,2.83
340,0.32,5,4,4.0,61.2,55.0,4.41,4.44,2.71
341,0.43,4,4,2.5,61.1,59.0,4.86,4.83,2.96
342,0.62,3,3,2.5,61.7,63.0,5.48,5.42,3.36
343,1.2,4,3,2.0,61.0,58.0,6.92,6.84,4.2
344,0.54,5,6,2.5,60.5,56.0,5.28,5.26,3.19
345,1.26,4,3,1.5,60.9,57.0,7.03,6.96,4.26
346,0.58,4,4,1.5,61.2,59.0,5.4,5.36,3.29
347,0.6,2,6,3.5,64.2,55.0,5.31,5.34,3.42
348,1.51,4,6,2.0,61.5,58.0,7.38,7.33,4.52
349,0.6,3,5,2.0,60.6,57.0,5.46,5.5,3.32
350,1.03,5,6,3.5,60.6,59.0,6.5,6.53,3.95
351,1.01,3,5,1.5,63.5,56.0,6.38,6.35,4.04
352,0.94,4,5,1.5,62.6,57.0,6.27,6.25,3.92
353,0.9,5,5,2.0,60.7,57.0,6.21,6.25,3.78
354,0.44,4,4,2.0,61.0,60.0,4.88,4.93,2.99
355,1.02,3,7,2.5,62.3,57.0,6.41,6.47,4.01
356,0.53,3,7,2.5,63.4,55.0,5.23,5.11,3.28
357,1.0,2,7,2.0,64.2,60.0,6.22,6.28,4.01
358,0.81,3,4,2.0,60.7,56.0,6.06,6.09,3.69
359,1.83,4,4,1.0,62.0,58.0,7.84,7.8,4.85
360,2.03,4,1,2.0,60.1,58.0,8.26,8.21,4.95
361,0.71,5,6,1.5,61.2,57.0,5.75,5.78,3.53
362,1.03,5,6,1.5,62.3,56.0,6.52,6.44,4.04
363,0.71,3,5,4.0,62.7,58.0,5.67,5.72,3.57
364,1.05,5,7,2.0,60.7,60.0,6.52,6.56,3.97
365,2.01,4,3,1.5,62.0,60.0,8.11,8.04,5.02
366,0.3,5,5,5.0,61.4,56.0,4.32,4.34,2.66
367,0.71,2,7,2.0,64.1,56.0,5.63,5.6,3.6
368,0.37,4,6,1.5,59.5,61.0,4.7,4.68,2.79
369,0.23,2,6,4.0,56.3,62.0,4.1,4.11,2.31
370,0.63,5,6,3.0,61.9,55.0,5.46,5.5,3.4
371,0.8,4,7,1.5,61.1,58.0,5.94,5.9,3.62
372,1.0,3,5,2.0,60.3,61.0,6.38,6.43,3.86
373,0.42,4,3,2.0,62.0,59.0,4.79,4.76,2.96
374,0.53,5,3,2.0,61.0,56.0,5.23,5.26,3.2
375,0.71,2,5,3.0,58.0,61.0,5.83,5.85,3.39
376,0.7,4,3,1.5,61.7,58.0,5.72,5.69,3.52
377,0.9,1,7,2.0,66.1,55.0,5.98,5.92,3.93
378,0.78,4,7,2.0,60.4,57.0,6.02,5.97,3.62
379,0.52,5,2,2.0,62.0,54.0,5.17,5.19,3.21
380,0.53,5,7,2.5,60.6,57.0,5.24,5.28,3.19
381,0.39,4,1,3.0,61.0,62.0,4.71,4.66,2.86
382,0.58,3,6,5.0,60.6,59.0,5.37,5.43,3.27
383,1.03,4,6,3.0,61.5,58.0,6.55,6.43,3.99
384,1.08,5,6,3.0,61.7,55.0,6.58,6.61,4.07
385,0.31,5,4,2.5,62.4,55.0,4.3,4.32,2.69
386,1.26,4,3,1.5,58.6,59.0,7.09,7.04,4.14
387,1.08,1,3,3.5,55.9,63.0,6.9,6.8,3.83
388,0.5,4,7,2.5,61.1,58.0,5.12,5.09,3.12
389,1.22,4,5,2.0,61.8,59.0,6.86,6.83,4.23
390,0.33,5,4,2.5,62.3,57.0,4.4,4.43,2.75
391,0.25,1,6,3.0,55.2,64.0,4.21,4.23,2.33
392,1.07,4,5,3.0,62.4,58.0,6.52,6.49,4.06
393,0.35,5,6,2.0,60.9,55.0,4.53,4.57,2.77
394,1.51,4,6,1.5,61.1,60.0,7.37,7.27,4.47
395,1.24,5,4,2.0,62.7,56.0,6.89,6.85,4.31
396,0.91,5,2,3.5,60.6,57.0,6.25,6.27,3.79
397,1.08,3,6,1.5,59.5,59.0,6.71,6.78,4.01
398,0.5,3,7,2.0,58.8,60.0,5.17,5.23,3.06
399,2.0,1,3,2.5,65.2,56.0,7.92,7.87,5.15
400,1.01,2,6,1.5,56.7,61.0,6.68,6.7,3.79
401,0.31,2,4,3.5,63.8,56.0,4.24,4.28,2.72
402,1.71,4,4,1.5,62.6,57.0,7.66,7.6,4.78
403,1.0,2,4,3.5,60.9,56.0,6.49,6.52,3.96
404,0.41,3,6,3.0,62.9,56.0,4.72,4.78,2.99
405,0.51,3,7,2.5,60.1,59.0,5.16,5.19,3.11
406,0.38,3,4,2.0,61.4,61.0,4.62,4.66,2.85
407,1.52,3,5,3.5,63.7,57.0,7.28,7.31,4.65
408,0.36,5,7,2.5,61.1,57.0,4.58,4.62,2.81
409,0.38,2,5,2.5,60.3,61.0,4.68,4.71,2.83
